0 4 2.30e+01, 2.90e-01, 3.00e+00, r integrated from 0 to 30.000000 

nf=5	N_CHEB=48	N_DATA=181.

    5.466e+03 (30.706), in 6.5e-01 sec
82 4 2.13e+01, 2.84e-01, 1.81e+00,     7.035e+02 (3.952), in 3.1e-02 sec
83 4 2.13e+01, 2.84e-01, 1.81e+00,     7.034e+02 (3.952), in 3.1e-02 sec
84 4 2.13e+01, 2.84e-01, 1.81e+00,     7.032e+02 (3.950), in 3.1e-02 sec
85 4 2.13e+01, 2.84e-01, 1.81e+00,     7.031e+02 (3.950), in 3.1e-02 sec
86 4 2.13e+01, 2.84e-01, 1.81e+00,     7.035e+02 (3.952), in 3.1e-02 sec
87 4 2.13e+01, 2.84e-01, 1.81e+00,     7.031e+02 (3.950), in 3.1e-02 sec
88 4 2.13e+01, 2.84e-01, 1.81e+00,     7.034e+02 (3.952), in 3.1e-02 sec
89 4 2.24e+01, 2.70e-01, 1.32e+00,     5.655e+02 (3.177), in 3.1e-02 sec
90 4 2.33e+01, 2.58e-01, 9.43e-01,     5.667e+02 (3.184), in 3.0e-02 sec
91 4 2.28e+01, 2.64e-01, 1.14e+00,     5.458e+02 (3.066), in 3.1e-02 sec
92 4 2.28e+01, 2.64e-01, 1.14e+00,     5.456e+02 (3.065), in 3.1e-02 sec
93 4 2.28e+01, 2.64e-01, 1.14e+00,     5.460e+02 (3.067), in 3.1e-02 sec
94 4 2.28e+01, 2.64e-01, 1.14e+00,     5.459e+02 (3.067), in 3.1e-02 sec
95 4 2.28e+01, 2.64e-01, 1.14e+00,     5.458e+02 (3.066), in 3.1e-02 sec
96 4 2.28e+01, 2.64e-01, 1.14e+00,     5.456e+02 (3.065), in 3.2e-02 sec
97 4 2.28e+01, 2.64e-01, 1.14e+00,     5.460e+02 (3.068), in 3.2e-02 sec
98 4 2.28e+01, 2.64e-01, 1.14e+00,     5.457e+02 (3.066), in 3.1e-02 sec
99 4 2.28e+01, 2.64e-01, 1.14e+00,     5.460e+02 (3.067), in 3.1e-02 sec
100 4 2.33e+01, 2.56e-01, 1.12e+00,     4.906e+02 (2.756), in 3.2e-02 sec
101 4 2.32e+01, 2.57e-01, 1.12e+00,     4.867e+02 (2.734), in 3.1e-02 sec
102 4 2.32e+01, 2.57e-01, 1.12e+00,     4.867e+02 (2.734), in 3.1e-02 sec
103 4 2.32e+01, 2.57e-01, 1.12e+00,     4.867e+02 (2.734), in 3.2e-02 sec
104 4 2.32e+01, 2.57e-01, 1.12e+00,     4.866e+02 (2.734), in 3.2e-02 sec
105 4 2.32e+01, 2.57e-01, 1.12e+00,     4.868e+02 (2.735), in 3.1e-02 sec
106 4 2.32e+01, 2.57e-01, 1.12e+00,     4.867e+02 (2.734), in 3.2e-02 sec
107 4 2.32e+01, 2.57e-01, 1.12e+00,     4.867e+02 (2.734), in 3.1e-02 sec
108 4 2.39e+01, 2.55e-01, 9.04e-01,     4.316e+02 (2.425), in 3.2e-02 sec
109 4 2.66e+01, 2.46e-01, 4.20e-02,     1.929e+04 (108.392), in 3.1e-02 sec
110 4 2.35e+01, 2.56e-01, 1.01e+00,     4.557e+02 (2.560), in 3.2e-02 sec
111 4 2.61e+01, 2.47e-01, 2.15e-01,     3.452e+03 (19.390), in 3.1e-02 sec
112 4 2.50e+01, 2.51e-01, 5.59e-01,     5.419e+02 (3.044), in 3.2e-02 sec
113 4 2.44e+01, 2.53e-01, 7.32e-01,     4.206e+02 (2.363), in 3.1e-02 sec
114 4 2.43e+01, 2.53e-01, 7.67e-01,     4.171e+02 (2.343), in 3.2e-02 sec
115 4 2.42e+01, 2.54e-01, 7.91e-01,     4.170e+02 (2.343), in 3.1e-02 sec
116 4 2.42e+01, 2.54e-01, 7.91e-01,     4.169e+02 (2.342), in 3.2e-02 sec
117 4 2.42e+01, 2.54e-01, 7.91e-01,     4.171e+02 (2.343), in 3.2e-02 sec
118 4 2.42e+01, 2.54e-01, 7.91e-01,     4.170e+02 (2.343), in 3.1e-02 sec
119 4 2.42e+01, 2.54e-01, 7.91e-01,     4.170e+02 (2.342), in 3.2e-02 sec
120 4 2.42e+01, 2.54e-01, 7.91e-01,     4.169e+02 (2.342), in 3.2e-02 sec
121 4 2.42e+01, 2.54e-01, 7.91e-01,     4.171e+02 (2.343), in 3.1e-02 sec
122 4 2.47e+01, 2.55e-01, 7.10e-01,     3.946e+02 (2.217), in 3.2e-02 sec
123 4 2.51e+01, 2.56e-01, 6.31e-01,     3.919e+02 (2.202), in 3.2e-02 sec
124 4 2.49e+01, 2.56e-01, 6.59e-01,     3.901e+02 (2.192), in 3.1e-02 sec
125 4 2.49e+01, 2.56e-01, 6.59e-01,     3.900e+02 (2.191), in 3.2e-02 sec
126 4 2.49e+01, 2.56e-01, 6.59e-01,     3.902e+02 (2.192), in 3.1e-02 sec
127 4 2.49e+01, 2.56e-01, 6.59e-01,     3.902e+02 (2.192), in 3.2e-02 sec
128 4 2.49e+01, 2.56e-01, 6.59e-01,     3.900e+02 (2.191), in 3.1e-02 sec
129 4 2.49e+01, 2.56e-01, 6.59e-01,     3.900e+02 (2.191), in 3.2e-02 sec
130 4 2.49e+01, 2.56e-01, 6.59e-01,     3.902e+02 (2.192), in 3.1e-02 sec
131 4 2.50e+01, 2.58e-01, 6.74e-01,     3.725e+02 (2.093), in 3.2e-02 sec
132 4 2.51e+01, 2.60e-01, 6.86e-01,     3.678e+02 (2.066), in 3.1e-02 sec
133 4 2.51e+01, 2.60e-01, 6.86e-01,     3.678e+02 (2.066), in 3.2e-02 sec
134 4 2.51e+01, 2.60e-01, 6.86e-01,     3.678e+02 (2.066), in 3.1e-02 sec
135 4 2.51e+01, 2.60e-01, 6.86e-01,     3.678e+02 (2.067), in 3.2e-02 sec
136 4 2.51e+01, 2.60e-01, 6.86e-01,     3.677e+02 (2.066), in 3.2e-02 sec
137 4 2.51e+01, 2.60e-01, 6.86e-01,     3.678e+02 (2.066), in 3.1e-02 sec
138 4 2.51e+01, 2.60e-01, 6.86e-01,     3.678e+02 (2.066), in 3.1e-02 sec
139 4 2.54e+01, 2.57e-01, 6.38e-01,     3.547e+02 (1.993), in 3.2e-02 sec
140 4 2.63e+01, 2.46e-01, 4.49e-01,     3.323e+02 (1.867), in 3.2e-02 sec
141 4 2.63e+01, 2.46e-01, 4.49e-01,     3.322e+02 (1.867), in 3.1e-02 sec
142 4 2.63e+01, 2.46e-01, 4.49e-01,     3.324e+02 (1.867), in 3.2e-02 sec
143 4 2.63e+01, 2.46e-01, 4.49e-01,     3.324e+02 (1.867), in 3.1e-02 sec
144 4 2.63e+01, 2.46e-01, 4.49e-01,     3.323e+02 (1.867), in 3.2e-02 sec
145 4 2.63e+01, 2.46e-01, 4.49e-01,     3.322e+02 (1.866), in 3.1e-02 sec
146 4 2.63e+01, 2.46e-01, 4.49e-01,     3.324e+02 (1.867), in 3.2e-02 sec
147 4 2.62e+01, 2.44e-01, 4.98e-01,     3.268e+02 (1.836), in 3.1e-02 sec
148 4 2.63e+01, 2.45e-01, 4.77e-01,     3.209e+02 (1.803), in 3.2e-02 sec
149 4 2.63e+01, 2.45e-01, 4.77e-01,     3.209e+02 (1.803), in 3.2e-02 sec
150 4 2.63e+01, 2.45e-01, 4.77e-01,     3.210e+02 (1.803), in 3.2e-02 sec
151 4 2.63e+01, 2.45e-01, 4.77e-01,     3.209e+02 (1.803), in 3.1e-02 sec
152 4 2.63e+01, 2.45e-01, 4.77e-01,     3.209e+02 (1.803), in 3.2e-02 sec
153 4 2.63e+01, 2.45e-01, 4.77e-01,     3.209e+02 (1.803), in 3.1e-02 sec
154 4 2.63e+01, 2.45e-01, 4.77e-01,     3.209e+02 (1.803), in 3.1e-02 sec
155 4 2.66e+01, 2.43e-01, 4.33e-01,     3.119e+02 (1.752), in 3.2e-02 sec
156 4 2.78e+01, 2.38e-01, 2.92e-01,     3.233e+02 (1.816), in 3.2e-02 sec
157 4 2.70e+01, 2.42e-01, 3.89e-01,     3.052e+02 (1.715), in 3.1e-02 sec
158 4 2.78e+01, 2.38e-01, 2.92e-01,     3.230e+02 (1.815), in 3.1e-02 sec
159 4 2.74e+01, 2.40e-01, 3.41e-01,     3.044e+02 (1.710), in 3.2e-02 sec
160 4 2.73e+01, 2.41e-01, 3.59e-01,     3.034e+02 (1.705), in 3.1e-02 sec
161 4 2.73e+01, 2.41e-01, 3.59e-01,     3.034e+02 (1.704), in 3.2e-02 sec
162 4 2.73e+01, 2.41e-01, 3.59e-01,     3.035e+02 (1.705), in 3.1e-02 sec
163 4 2.73e+01, 2.41e-01, 3.59e-01,     3.035e+02 (1.705), in 3.2e-02 sec
164 4 2.73e+01, 2.41e-01, 3.59e-01,     3.034e+02 (1.705), in 3.1e-02 sec
165 4 2.73e+01, 2.41e-01, 3.59e-01,     3.034e+02 (1.704), in 3.2e-02 sec
166 4 2.73e+01, 2.41e-01, 3.59e-01,     3.035e+02 (1.705), in 3.2e-02 sec
167 4 2.75e+01, 2.41e-01, 3.50e-01,     2.986e+02 (1.677), in 3.2e-02 sec
168 4 2.75e+01, 2.41e-01, 3.48e-01,     2.984e+02 (1.676), in 3.1e-02 sec
169 4 2.75e+01, 2.41e-01, 3.48e-01,     2.984e+02 (1.676), in 3.3e-02 sec
170 4 2.75e+01, 2.41e-01, 3.48e-01,     2.984e+02 (1.676), in 3.2e-02 sec
171 4 2.75e+01, 2.41e-01, 3.48e-01,     2.984e+02 (1.676), in 3.2e-02 sec
172 4 2.75e+01, 2.41e-01, 3.48e-01,     2.984e+02 (1.676), in 3.1e-02 sec
173 4 2.75e+01, 2.41e-01, 3.48e-01,     2.984e+02 (1.676), in 3.2e-02 sec
174 4 2.75e+01, 2.41e-01, 3.48e-01,     2.984e+02 (1.676), in 3.1e-02 sec
175 4 2.79e+01, 2.39e-01, 3.08e-01,     2.954e+02 (1.660), in 3.2e-02 sec
176 4 2.82e+01, 2.37e-01, 2.83e-01,     2.967e+02 (1.667), in 3.1e-02 sec
177 4 2.79e+01, 2.39e-01, 3.08e-01,     2.954e+02 (1.659), in 3.2e-02 sec
178 4 2.79e+01, 2.39e-01, 3.08e-01,     2.954e+02 (1.660), in 3.2e-02 sec
179 4 2.79e+01, 2.39e-01, 3.08e-01,     2.954e+02 (1.660), in 3.1e-02 sec
180 4 2.79e+01, 2.39e-01, 3.08e-01,     2.954e+02 (1.659), in 3.2e-02 sec
181 4 2.79e+01, 2.39e-01, 3.09e-01,     2.954e+02 (1.659), in 3.1e-02 sec
182 4 2.79e+01, 2.39e-01, 3.08e-01,     2.954e+02 (1.660), in 3.2e-02 sec
183 4 2.81e+01, 2.37e-01, 2.86e-01,     2.945e+02 (1.654), in 3.1e-02 sec
184 4 2.82e+01, 2.36e-01, 2.83e-01,     2.945e+02 (1.654), in 3.2e-02 sec
185 4 2.82e+01, 2.37e-01, 2.85e-01,     2.945e+02 (1.654), in 3.2e-02 sec
186 4 2.82e+01, 2.37e-01, 2.85e-01,     2.944e+02 (1.654), in 3.4e-02 sec
187 4 2.82e+01, 2.37e-01, 2.85e-01,     2.945e+02 (1.654), in 3.2e-02 sec
188 4 2.82e+01, 2.37e-01, 2.85e-01,     2.945e+02 (1.654), in 3.2e-02 sec
189 4 2.82e+01, 2.36e-01, 2.85e-01,     2.944e+02 (1.654), in 3.1e-02 sec
190 4 2.82e+01, 2.37e-01, 2.85e-01,     2.944e+02 (1.654), in 3.2e-02 sec
