   22.000  0.000800  1.286816  1.266824   2.20   2.20   1.93   0.65   1.54  -0.12   0.00   0.27  -0.09   0.35  -0.10   0.25   0.63  -0.49
   22.000  0.001300  1.071105  1.065138   2.26   2.26   2.28   1.40   1.30   0.99   0.00  -0.15  -0.17   0.39  -0.55   0.01   0.18   0.12
   22.000  0.002100  1.002779  1.001084   2.72   2.72   1.96   0.77   1.19   0.83   0.00  -0.96   0.19  -0.30  -0.20   0.30   0.04  -0.05
   22.000  0.003200  0.905374  0.904838   2.55   2.55   1.74   1.18   1.12   0.25   0.00   0.07  -0.41   0.11  -0.13   0.26   0.07   0.08
   22.000  0.005000  0.771006  0.770903   2.37   2.37   1.69   0.89   1.08   0.40   0.00  -0.28   0.30  -0.23  -0.08   0.23   0.01  -0.68
   22.000  0.008000  0.656300  0.656300   2.43   2.43   1.74   0.93   1.06   0.37   0.00  -0.69   0.51  -0.26   0.04   0.32   0.00   0.11
   22.000  0.013000  0.581271  0.581271   1.95   1.95   5.60   1.83   1.04   0.90   0.00  -0.29   0.41   0.07  -0.06   0.02   0.00   5.09
   22.000  0.032000  0.511832  0.511939   1.82   1.82   6.90   1.61   1.04   0.90   0.00  -0.69   1.40  -0.32   0.08  -0.27   0.00   6.37
   27.000  0.000500  1.620285  1.497170   3.32   3.32   4.01   1.47   2.12   0.69   0.00   0.11   0.19   0.22   1.29   0.95   2.49   0.30
   27.000  0.000800  1.325290  1.293614   2.45   2.45   2.17   0.83   1.69   0.40   0.00   0.10   0.10   0.27   0.21   0.36   0.86  -0.04
   27.000  0.001300  1.190134  1.180721   2.27   2.27   2.66   1.83   1.38   1.14   0.00  -0.20   0.07   0.24  -0.61   0.14   0.21  -0.03
   27.000  0.002100  1.097916  1.095161   2.82   2.82   1.72   0.97   1.23   0.53   0.00   0.22  -0.15   0.31  -0.15   0.00   0.08  -0.02
   27.000  0.003200  0.902310  0.901495   2.74   2.74   2.14   1.53   1.15   0.77   0.00   0.08   0.18  -0.24  -0.04   0.48   0.05   0.00
   27.000  0.005000  0.803971  0.803766   2.55   2.55   2.48   1.53   1.10   0.97   0.00  -1.09   0.20  -0.52  -0.07   0.30   0.00  -0.22
   27.000  0.008000  0.731316  0.731316   2.63   2.63   2.66   1.35   1.06   1.21   0.00  -0.40   0.72  -0.23   0.09   0.09   0.00   1.38
   27.000  0.013000  0.633545  0.633649   2.03   2.03   2.88   1.39   1.05   0.58   0.00  -0.41   0.29   0.05   0.10  -0.12   0.00   2.16
   35.000  0.000800  1.466542  1.403556   1.48   1.48   2.89   0.66   1.89   0.36   0.01  -0.95  -0.02   0.04   0.32   1.05   1.44  -0.01
   35.000  0.001300  1.241395  1.225115   1.36   1.36   1.79   0.33   1.49   0.47   0.00  -0.28  -0.07   0.43  -0.46   0.28   0.29   0.05
   35.000  0.002100  1.112872  1.107638   1.63   1.63   1.63   0.43   1.29   0.55   0.00  -0.47  -0.15   0.32  -0.36   0.14   0.03  -0.07
   35.000  0.003200  0.962816  0.961280   1.66   1.66   1.64   0.74   1.19   0.59   0.00   0.35   0.07   0.11  -0.14  -0.39   0.01  -0.23
   35.000  0.005000  0.864672  0.864253   1.55   1.55   1.47   0.35   1.12   0.63   0.00  -0.56   0.18   0.07   0.10  -0.14   0.02  -0.07
   35.000  0.008000  0.727042  0.727042   1.58   1.58   1.79   0.72   1.08   0.74   0.00  -0.42   0.48  -0.43  -0.04   0.06   0.00  -0.60
   35.000  0.013000  0.646255  0.646358   1.87   1.87   2.23   0.90   1.05   0.54   0.00  -0.31   0.86  -0.10  -0.11   0.01   0.00   1.37
   35.000  0.021000  0.554799  0.554898   1.78   1.78   2.79   1.05   1.05   0.99   0.00  -0.53  -0.28  -0.18   0.24  -0.18   0.00   2.03
   35.000  0.032000  0.495781  0.495879   1.11   1.11   7.58   0.98   1.04   0.85   0.00  -1.16   0.90  -0.24   0.07  -0.22   0.00   7.24
   45.000  0.000800  1.603672  1.482377   1.81   1.81   3.59   1.45   2.05   0.42  -0.03   0.32  -0.09   0.26   1.65   0.14   1.87   0.04
   45.000  0.001300  1.326997  1.297372   1.34   1.34   2.11   0.34   1.62   0.46   0.00  -0.73   0.03   0.34  -0.78   0.17   0.45  -0.01
   45.000  0.002100  1.139010  1.130925   1.70   1.70   1.66   0.39   1.37   0.49   0.00  -0.20   0.09   0.56  -0.27  -0.12   0.15   0.09
   45.000  0.003200  1.000724  0.998104   1.52   1.52   1.55   0.52   1.24   0.61   0.00  -0.23   0.20   0.12  -0.23  -0.04   0.01  -0.24
   45.000  0.005000  0.910152  0.909312   1.42   1.42   1.30   0.43   1.15   0.24   0.00  -0.18   0.15   0.06  -0.17  -0.16   0.01   0.12
   45.000  0.008000  0.777432  0.777328   1.44   1.44   1.49   0.44   1.09   0.54   0.00  -0.46  -0.40  -0.28  -0.10   0.27   0.00   0.14
   45.000  0.013000  0.660936  0.661037   1.71   1.71   1.73   0.83   1.06   0.17   0.00  -0.85   0.58  -0.24  -0.06  -0.13   0.00  -0.12
   45.000  0.021000  0.587236  0.587441   1.68   1.68   2.13   0.35   1.05   0.38   0.00  -0.62   0.27   0.04   0.09  -0.35   0.00   1.61
   60.000  0.001300  1.450091  1.387452   1.31   1.31   2.18   0.55   1.80   0.53  -0.11  -0.44   0.12   0.14  -0.06   0.42   0.72  -0.02
   60.000  0.002100  1.229704  1.213294   1.49   1.49   1.81   0.46   1.48   0.38   0.00  -0.23  -0.16   0.35  -0.45   0.42   0.36  -0.14
   60.000  0.003200  1.079370  1.074235   1.49   1.49   1.51   0.40   1.31   0.35   0.00   0.16  -0.07   0.36  -0.27  -0.17   0.08  -0.14
   60.000  0.005000  0.901728  0.900347   1.36   1.36   1.47   0.49   1.19   0.41   0.00   0.36   0.19   0.32  -0.07   0.18   0.01   0.12
   60.000  0.008000  0.809394  0.809086   1.42   1.42   1.55   0.66   1.11   0.47   0.00  -0.58   0.25  -0.27   0.06   0.19   0.00   0.07
   60.000  0.013000  0.688754  0.688855   1.70   1.70   1.90   0.84   1.07   0.68   0.00  -0.58   0.73  -0.29   0.12   0.20   0.00  -0.55
   60.000  0.021000  0.598172  0.598374   1.62   1.62   2.38   1.13   1.05   0.63   0.00  -0.69   0.21  -0.10   0.11  -0.02   0.00   1.53
