Q2 beta x xp*sigmaD(3) dstat dsys dtot
12.0 0.4 0.00130 0.0202 17.1 4.9 17.8
12.0 0.4 0.00200 0.0285 15.3 4.7 16.0
12.0 0.65 0.00020 0.0720 21.0 14.0 25.2
12.0 0.65 0.00032 0.0491 16.2 6.2 17.3
12.0 0.65 0.00050 0.0546 13.4 7.2 15.2
12.0 0.65 0.00080 0.0476 13.4 5.8 14.6
12.0 0.65 0.00130 0.0402 13.9 7.1 15.7
12.0 0.65 0.00200 0.0398 15.2 4.8 16.0
12.0 0.65 0.00320 0.0342 19.7 6.5 20.7
12.0 0.9 0.00032 0.0641 26.6 36.9 45.5
12.0 0.9 0.00050 0.0407 19.8 17.9 26.7
12.0 0.9 0.00080 0.0309 18.6 15.1 24.0
12.0 0.9 0.00130 0.0404 19.0 12.3 22.6
12.0 0.9 0.00200 0.0358 20.5 6.9 21.6
15.0 0.01 0.00020 0.0424 13.0 10.0 16.4
15.0 0.01 0.00032 0.0359 6.8 14.8 16.3
15.0 0.01 0.00050 0.0414 6.1 23.7 24.5
15.0 0.04 0.00032 0.0297 6.1 5.1 8.0
15.0 0.04 0.00050 0.0281 5.2 6.3 8.1
15.0 0.04 0.00080 0.0270 5.8 9.4 11.0
15.0 0.04 0.00130 0.0274 7.2 17.1 18.6
15.0 0.04 0.00200 0.0230 8.1 24.1 25.5
15.0 0.1 0.00032 0.0277 7.9 3.6 8.6
15.0 0.1 0.00050 0.0259 7.1 3.6 8.0
15.0 0.1 0.00080 0.0229 9.0 4.1 9.9
15.0 0.1 0.00130 0.0217 6.7 6.9 9.7
15.0 0.1 0.00200 0.0243 7.8 10.3 13.0
15.0 0.2 0.00020 0.0478 14.0 4.2 14.6
15.0 0.2 0.00032 0.0316 7.4 4.2 8.5
15.0 0.2 0.00050 0.0259 6.8 3.4 7.6
15.0 0.2 0.00080 0.0260 6.3 2.9 6.9
15.0 0.2 0.00130 0.0258 6.3 3.6 7.3
15.0 0.2 0.00200 0.0232 6.2 5.7 8.5
15.0 0.2 0.00320 0.0228 6.7 7.5 10.1
