0 4 2.30e+01, 2.90e-01, 3.00e+00, 1.26e+00, 2.00e+00, 5.00e-01, 5.00e-01, r integrated from 0 to 30.000000 

nf=5	N_CHEB=16	N_DATA=387.

    1.486e+04 (39.106), in 8.7e-01 sec
62 4 2.00e+01, 2.79e-01, 2.82e+00, 1.26e+00, 2.00e+00, 3.37e-01, 3.99e-01,     1.676e+03 (4.412), in 2.3e-01 sec
63 4 1.99e+01, 2.78e-01, 2.81e+00, 1.26e+00, 2.00e+00, 3.09e-01, 3.85e-01,     1.632e+03 (4.295), in 2.3e-01 sec
64 4 2.00e+01, 2.78e-01, 2.87e+00, 1.26e+00, 2.00e+00, 3.12e-01, 4.07e-01,     1.698e+03 (4.467), in 2.3e-01 sec
65 4 1.96e+01, 2.79e-01, 2.80e+00, 1.26e+00, 2.00e+00, 2.46e-01, 3.68e-01,     1.569e+03 (4.130), in 2.3e-01 sec
66 4 1.93e+01, 2.79e-01, 2.76e+00, 1.26e+00, 2.00e+00, 1.76e-01, 3.36e-01,     1.626e+03 (4.279), in 2.3e-01 sec
67 4 1.99e+01, 2.84e-01, 2.82e+00, 1.26e+00, 2.00e+00, 2.41e-01, 3.57e-01,     1.472e+03 (3.873), in 2.3e-01 sec
68 4 1.99e+01, 2.90e-01, 2.82e+00, 1.26e+00, 2.00e+00, 1.87e-01, 3.25e-01,     1.423e+03 (3.746), in 2.3e-01 sec
69 4 1.96e+01, 2.85e-01, 2.77e+00, 1.26e+00, 2.00e+00, 2.39e-01, 3.40e-01,     1.626e+03 (4.279), in 2.3e-01 sec
70 4 1.95e+01, 2.86e-01, 2.81e+00, 1.26e+00, 2.00e+00, 1.83e-01, 3.25e-01,     1.442e+03 (3.793), in 2.3e-01 sec
71 4 1.95e+01, 2.91e-01, 2.81e+00, 1.26e+00, 2.00e+00, 1.61e-01, 3.14e-01,     1.523e+03 (4.007), in 2.3e-01 sec
72 4 1.97e+01, 2.86e-01, 2.86e+00, 1.26e+00, 2.00e+00, 1.90e-01, 3.48e-01,     1.387e+03 (3.650), in 2.3e-01 sec
73 4 1.98e+01, 2.86e-01, 2.91e+00, 1.26e+00, 2.00e+00, 1.68e-01, 3.51e-01,     1.407e+03 (3.703), in 2.3e-01 sec
74 4 1.95e+01, 2.90e-01, 2.80e+00, 1.26e+00, 2.00e+00, 9.75e-02, 2.87e-01,     1.268e+03 (3.337), in 2.2e-01 sec
75 4 1.94e+01, 2.94e-01, 2.78e+00, 1.26e+00, 2.00e+00, 3.55e-02, 2.40e-01,     1.211e+03 (3.186), in 2.2e-01 sec
76 4 1.97e+01, 3.00e-01, 2.85e+00, 1.26e+00, 2.00e+00, 6.07e-02, 2.57e-01,     1.366e+03 (3.595), in 2.2e-01 sec
77 4 1.98e+01, 2.92e-01, 2.86e+00, 1.26e+00, 2.00e+00, 7.94e-02, 2.83e-01,     1.381e+03 (3.635), in 2.2e-01 sec
78 4 1.99e+01, 2.99e-01, 2.88e+00, 1.26e+00, 2.00e+00, 3.80e-02, 2.57e-01,     1.510e+03 (3.974), in 2.2e-01 sec
79 4 1.96e+01, 2.89e-01, 2.83e+00, 1.26e+00, 2.00e+00, 1.37e-01, 3.07e-01,     1.318e+03 (3.468), in 2.2e-01 sec
80 4 1.94e+01, 2.95e-01, 2.87e+00, 1.26e+00, 2.00e+00, 2.70e-02, 2.50e-01,     1.157e+03 (3.045), in 2.2e-01 sec
81 4 1.92e+01, 2.98e-01, 2.89e+00, 1.26e+00, 2.00e+00, 7.26e-04, 2.15e-01,     1.204e+03 (3.167), in 2.3e-01 sec
82 4 1.93e+01, 3.03e-01, 2.77e+00, 1.26e+00, 2.00e+00, 1.12e-03, 1.80e-01,     1.469e+03 (3.866), in 2.3e-01 sec
83 4 1.96e+01, 2.90e-01, 2.88e+00, 1.26e+00, 2.00e+00, 1.01e-01, 3.04e-01,     1.286e+03 (3.385), in 2.2e-01 sec
84 4 1.92e+01, 2.97e-01, 2.83e+00, 1.26e+00, 2.00e+00, 3.21e-02, 2.45e-01,     1.403e+03 (3.692), in 2.2e-01 sec
85 4 1.96e+01, 2.93e-01, 2.85e+00, 1.26e+00, 2.00e+00, 6.57e-02, 2.73e-01,     1.254e+03 (3.299), in 2.2e-01 sec
86 4 1.93e+01, 2.86e-01, 2.84e+00, 1.26e+00, 2.00e+00, 4.79e-02, 2.77e-01,     1.152e+03 (3.031), in 2.2e-01 sec
87 4 1.92e+01, 2.78e-01, 2.83e+00, 1.26e+00, 2.00e+00, 4.20e-02, 2.88e-01,     1.240e+03 (3.264), in 2.2e-01 sec
88 4 1.92e+01, 2.95e-01, 2.87e+00, 1.26e+00, 2.00e+00, 9.27e-04, 2.18e-01,     1.122e+03 (2.952), in 2.3e-01 sec
89 4 1.91e+01, 2.98e-01, 2.89e+00, 1.26e+00, 2.00e+00, 2.00e-02, 1.79e-01,     1.260e+03 (3.315), in 2.3e-01 sec
90 4 1.91e+01, 2.96e-01, 2.81e+00, 1.26e+00, 2.00e+00, 9.21e-04, 1.90e-01,     1.277e+03 (3.361), in 2.3e-01 sec
91 4 1.92e+01, 2.94e-01, 2.83e+00, 1.26e+00, 2.00e+00, 3.27e-03, 2.17e-01,     1.147e+03 (3.019), in 2.2e-01 sec
92 4 1.89e+01, 2.94e-01, 2.83e+00, 1.26e+00, 2.00e+00, 2.33e-03, 1.96e-01,     1.394e+03 (3.668), in 2.2e-01 sec
93 4 1.95e+01, 2.93e-01, 2.84e+00, 1.26e+00, 2.00e+00, 3.27e-02, 2.53e-01,     1.150e+03 (3.027), in 2.2e-01 sec
