0 4 2.24e+01, 1.35e+00, 1.00e-01, 3.80e-01, 2.00e+00, r integrated from 0 to 30.000000 

nf=5	N_CHEB=16	N_DATA=181.

    4.779e+03 (27.154), in 9.8e-01 sec
130 4 2.25e+01, 1.37e+00, 6.61e-02, 2.61e-01, 1.87e+00,     3.133e+02 (1.780), in 7.8e-01 sec
131 4 2.24e+01, 1.36e+00, 6.38e-02, 2.59e-01, 1.87e+00,     3.267e+02 (1.856), in 7.8e-01 sec
132 4 2.25e+01, 1.36e+00, 6.66e-02, 2.59e-01, 1.87e+00,     3.117e+02 (1.771), in 7.8e-01 sec
133 4 2.25e+01, 1.36e+00, 6.74e-02, 2.68e-01, 1.89e+00,     3.243e+02 (1.842), in 7.8e-01 sec
134 4 2.25e+01, 1.36e+00, 6.54e-02, 2.57e-01, 1.87e+00,     3.116e+02 (1.771), in 7.8e-01 sec
135 4 2.24e+01, 1.35e+00, 6.57e-02, 2.58e-01, 1.87e+00,     3.146e+02 (1.788), in 7.8e-01 sec
136 4 2.25e+01, 1.36e+00, 6.60e-02, 2.60e-01, 1.87e+00,     3.104e+02 (1.764), in 7.8e-01 sec
137 4 2.24e+01, 1.36e+00, 6.73e-02, 2.65e-01, 1.87e+00,     3.137e+02 (1.782), in 7.8e-01 sec
138 4 2.25e+01, 1.36e+00, 6.56e-02, 2.58e-01, 1.87e+00,     3.102e+02 (1.762), in 7.8e-01 sec
139 4 2.24e+01, 1.36e+00, 6.52e-02, 2.61e-01, 1.87e+00,     3.123e+02 (1.774), in 7.8e-01 sec
140 4 2.25e+01, 1.36e+00, 6.63e-02, 2.60e-01, 1.87e+00,     3.101e+02 (1.762), in 7.8e-01 sec
141 4 2.24e+01, 1.36e+00, 6.68e-02, 2.65e-01, 1.88e+00,     3.125e+02 (1.776), in 7.8e-01 sec
142 4 2.24e+01, 1.36e+00, 6.57e-02, 2.59e-01, 1.87e+00,     3.100e+02 (1.762), in 7.8e-01 sec
143 4 2.24e+01, 1.36e+00, 6.60e-02, 2.61e-01, 1.87e+00,     3.102e+02 (1.763), in 7.8e-01 sec
144 4 2.24e+01, 1.36e+00, 6.60e-02, 2.61e-01, 1.87e+00,     3.097e+02 (1.760), in 7.8e-01 sec
145 4 2.24e+01, 1.36e+00, 6.67e-02, 2.64e-01, 1.87e+00,     3.098e+02 (1.760), in 7.8e-01 sec
146 4 2.23e+01, 1.36e+00, 6.61e-02, 2.60e-01, 1.87e+00,     3.105e+02 (1.764), in 7.8e-01 sec
147 4 2.25e+01, 1.36e+00, 6.63e-02, 2.62e-01, 1.87e+00,     3.097e+02 (1.759), in 7.8e-01 sec
148 4 2.24e+01, 1.35e+00, 6.61e-02, 2.64e-01, 1.87e+00,     3.099e+02 (1.761), in 7.8e-01 sec
149 4 2.24e+01, 1.35e+00, 6.68e-02, 2.67e-01, 1.88e+00,     3.093e+02 (1.757), in 7.8e-01 sec
150 4 2.24e+01, 1.36e+00, 6.67e-02, 2.63e-01, 1.87e+00,     3.104e+02 (1.763), in 7.8e-01 sec
151 4 2.24e+01, 1.36e+00, 6.63e-02, 2.63e-01, 1.87e+00,     3.095e+02 (1.758), in 7.8e-01 sec
152 4 2.24e+01, 1.36e+00, 6.60e-02, 2.62e-01, 1.87e+00,     3.101e+02 (1.762), in 7.8e-01 sec
153 4 2.24e+01, 1.36e+00, 6.65e-02, 2.64e-01, 1.87e+00,     3.095e+02 (1.758), in 7.8e-01 sec
154 4 2.24e+01, 1.36e+00, 6.68e-02, 2.67e-01, 1.88e+00,     3.095e+02 (1.759), in 7.8e-01 sec
155 4 2.23e+01, 1.35e+00, 6.69e-02, 2.67e-01, 1.88e+00,     3.093e+02 (1.757), in 7.8e-01 sec
156 4 2.24e+01, 1.36e+00, 6.63e-02, 2.63e-01, 1.87e+00,     3.099e+02 (1.761), in 7.7e-01 sec
157 4 2.24e+01, 1.36e+00, 6.67e-02, 2.66e-01, 1.88e+00,     3.093e+02 (1.757), in 7.8e-01 sec
158 4 2.23e+01, 1.35e+00, 6.70e-02, 2.67e-01, 1.88e+00,     3.094e+02 (1.758), in 7.8e-01 sec
159 4 2.23e+01, 1.35e+00, 6.70e-02, 2.68e-01, 1.88e+00,     3.093e+02 (1.757), in 7.8e-01 sec
160 4 2.24e+01, 1.35e+00, 6.65e-02, 2.65e-01, 1.88e+00,     3.095e+02 (1.758), in 7.8e-01 sec
161 4 2.23e+01, 1.35e+00, 6.69e-02, 2.67e-01, 1.88e+00,     3.093e+02 (1.757), in 7.8e-01 sec
162 4 2.23e+01, 1.35e+00, 6.68e-02, 2.67e-01, 1.88e+00,     3.094e+02 (1.758), in 7.8e-01 sec
163 4 2.24e+01, 1.35e+00, 6.67e-02, 2.66e-01, 1.88e+00,     3.093e+02 (1.757), in 7.8e-01 sec
164 4 2.24e+01, 1.36e+00, 6.66e-02, 2.65e-01, 1.88e+00,     3.093e+02 (1.758), in 7.8e-01 sec
165 4 2.23e+01, 1.35e+00, 6.68e-02, 2.67e-01, 1.88e+00,     3.092e+02 (1.757), in 7.8e-01 sec
166 4 2.23e+01, 1.35e+00, 6.66e-02, 2.66e-01, 1.88e+00,     3.093e+02 (1.758), in 7.8e-01 sec
167 4 2.23e+01, 1.35e+00, 6.68e-02, 2.66e-01, 1.88e+00,     3.093e+02 (1.757), in 7.9e-01 sec
168 4 2.24e+01, 1.36e+00, 6.64e-02, 2.63e-01, 1.87e+00,     3.094e+02 (1.758), in 7.9e-01 sec
169 4 2.23e+01, 1.35e+00, 6.68e-02, 2.67e-01, 1.88e+00,     3.092e+02 (1.757), in 7.8e-01 sec
170 4 2.23e+01, 1.36e+00, 6.65e-02, 2.65e-01, 1.88e+00,     3.097e+02 (1.760), in 7.8e-01 sec
171 4 2.24e+01, 1.35e+00, 6.68e-02, 2.66e-01, 1.88e+00,     3.092e+02 (1.757), in 7.8e-01 sec
172 4 2.23e+01, 1.35e+00, 6.67e-02, 2.66e-01, 1.88e+00,     3.094e+02 (1.758), in 7.7e-01 sec
173 4 2.23e+01, 1.35e+00, 6.67e-02, 2.66e-01, 1.88e+00,     3.093e+02 (1.757), in 7.9e-01 sec
174 4 2.24e+01, 1.36e+00, 6.63e-02, 2.63e-01, 1.87e+00,     3.094e+02 (1.758), in 7.7e-01 sec
175 4 2.23e+01, 1.36e+00, 6.63e-02, 2.63e-01, 1.87e+00,     3.098e+02 (1.760), in 7.8e-01 sec
176 4 2.24e+01, 1.36e+00, 6.63e-02, 2.63e-01, 1.87e+00,     3.096e+02 (1.759), in 7.8e-01 sec
177 4 2.24e+01, 1.36e+00, 6.63e-02, 2.63e-01, 1.87e+00,     3.097e+02 (1.760), in 7.8e-01 sec
178 4 2.24e+01, 1.36e+00, 6.63e-02, 2.63e-01, 1.87e+00,     3.098e+02 (1.760), in 7.8e-01 sec
179 4 2.24e+01, 1.36e+00, 6.63e-02, 2.63e-01, 1.87e+00,     3.095e+02 (1.759), in 7.7e-01 sec
180 4 2.24e+01, 1.36e+00, 6.68e-02, 2.63e-01, 1.87e+00,     3.098e+02 (1.760), in 7.8e-01 sec
181 4 2.24e+01, 1.36e+00, 6.61e-02, 2.63e-01, 1.87e+00,     3.097e+02 (1.760), in 7.8e-01 sec
