0 4 2.30e+01, 2.90e-01, 3.00e+00, r integrated from 0 to 30.000000 

nf=5	N_CHEB=48	N_DATA=387.

    7.959e+04 (207.255), in 2.9e+00 sec
87 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.6e-02 sec
88 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.5e-02 sec
89 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.5e-02 sec
90 4 1.91e+01, 3.24e-01, 2.58e+00,     1.717e+03 (4.472), in 9.5e-02 sec
91 4 1.91e+01, 3.20e-01, 2.58e+00,     1.717e+03 (4.472), in 9.5e-02 sec
92 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.5e-02 sec
93 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.5e-02 sec
94 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.5e-02 sec
95 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.5e-02 sec
96 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.5e-02 sec
97 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.6e-02 sec
98 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.5e-02 sec
99 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.5e-02 sec
100 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.5e-02 sec
101 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.5e-02 sec
102 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.6e-02 sec
103 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.5e-02 sec
104 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.6e-02 sec
